baseline_id,recipient,flow_id,effect_pp,event_date,days_before_election,retained_fraction,realized_effect_pp,feasible,reason,chow,bradford,alexander,residual,recipient_margin_pp,tie_gain_pp,tie_reachable,max_gain_pp
pallas-2026-08-21,alexander,chow,-3,2026-10-21,5,0.5,-1.5,True,,51.54995004995005,39.260739260739264,6.591908091908092,2.5974025974025974,-44.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,0,2026-10-21,5,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,0,2026-10-21,5,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,3,2026-10-21,5,0.5,1.5,True,,48.54995004995005,40.760739260739264,8.091908091908092,2.5974025974025974,-7.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,3,2026-10-21,5,0.5,1.5,True,,48.54995004995005,39.260739260739264,9.591908091908092,2.5974025974025974,-38.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,6,2026-10-21,5,0.5,3.0,True,,47.04995004995005,42.260739260739264,8.091908091908092,2.5974025974025974,-4.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,6,2026-10-21,5,0.5,3.0,True,,47.04995004995005,39.260739260739264,11.091908091908092,2.5974025974025974,-35.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,9,2026-10-21,5,0.5,4.5,True,,45.54995004995005,43.760739260739264,8.091908091908092,2.5974025974025974,-1.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,9,2026-10-21,5,0.5,4.5,True,,45.54995004995005,39.260739260739264,12.591908091908092,2.5974025974025974,-32.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,mixed,-3,2026-10-21,5,0.5,-1.5,True,,50.79995004995005,37.760739260739264,8.841908091908092,2.5974025974025974,-13.039210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,-3,2026-10-21,5,0.5,-1.5,True,,50.79995004995005,40.010739260739264,6.591908091908092,2.5974025974025974,-44.20804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,0,2026-10-21,5,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,0,2026-10-21,5,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,3,2026-10-21,5,0.5,1.5,True,,49.29995004995005,40.760739260739264,7.341908091908092,2.5974025974025974,-8.539210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,3,2026-10-21,5,0.5,1.5,True,,49.29995004995005,38.510739260739264,9.591908091908092,2.5974025974025974,-39.70804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,6,2026-10-21,5,0.5,3.0,True,,48.54995004995005,42.260739260739264,6.591908091908092,2.5974025974025974,-6.2892107892107845,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,6,2026-10-21,5,0.5,3.0,True,,48.54995004995005,37.760739260739264,11.091908091908092,2.5974025974025974,-37.45804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,9,2026-10-21,5,0.5,4.5,True,,47.79995004995005,43.760739260739264,5.841908091908092,2.5974025974025974,-4.0392107892107845,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,9,2026-10-21,5,0.5,4.5,True,,47.79995004995005,37.010739260739264,12.591908091908092,2.5974025974025974,-35.20804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,challenger,-3,2026-10-21,5,0.5,-1.5,True,,50.04995004995005,37.760739260739264,9.591908091908092,2.5974025974025974,-12.289210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,-3,2026-10-21,5,0.5,-1.5,True,,50.04995004995005,40.760739260739264,6.591908091908092,2.5974025974025974,-43.45804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,0,2026-10-21,5,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,0,2026-10-21,5,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,3,2026-10-21,5,0.5,1.5,True,,50.04995004995005,40.760739260739264,6.591908091908092,2.5974025974025974,-9.289210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,3,2026-10-21,5,0.5,1.5,True,,50.04995004995005,37.760739260739264,9.591908091908092,2.5974025974025974,-40.45804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,6,2026-10-21,5,0.5,3.0,True,,50.04995004995005,42.260739260739264,5.091908091908092,2.5974025974025974,-7.7892107892107845,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,6,2026-10-21,5,0.5,3.0,True,,50.04995004995005,36.260739260739264,11.091908091908092,2.5974025974025974,-38.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,9,2026-10-21,5,0.5,4.5,True,,50.04995004995005,43.760739260739264,3.591908091908092,2.5974025974025974,-6.2892107892107845,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,9,2026-10-21,5,0.5,4.5,True,,50.04995004995005,34.760739260739264,12.591908091908092,2.5974025974025974,-37.45804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,chow,-3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,-3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,0,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,0,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,6,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,6,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,9,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,9,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,mixed,-3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,-3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,0,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,0,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,6,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,6,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,9,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,9,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,challenger,-3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,-3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,0,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,0,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,3,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,6,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,6,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,9,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,9,2026-10-21,5,0,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,chow,-3,2026-09-09,47,1,-3,True,,53.04995004995005,36.260739260739264,8.091908091908092,2.5974025974025974,-16.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,-3,2026-09-09,47,1,-3,True,,53.04995004995005,39.260739260739264,5.091908091908092,2.5974025974025974,-47.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,0,2026-09-09,47,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,0,2026-09-09,47,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,3,2026-09-09,47,1,3,True,,47.04995004995005,42.260739260739264,8.091908091908092,2.5974025974025974,-4.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,3,2026-09-09,47,1,3,True,,47.04995004995005,39.260739260739264,11.091908091908092,2.5974025974025974,-35.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,6,2026-09-09,47,1,6,True,,44.04995004995005,45.260739260739264,8.091908091908092,2.5974025974025974,1.2107892107892155,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,6,2026-09-09,47,1,6,True,,44.04995004995005,39.260739260739264,14.091908091908092,2.5974025974025974,-29.958041958041957,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,9,2026-09-09,47,1,9,True,,41.04995004995005,48.260739260739264,8.091908091908092,2.5974025974025974,7.2107892107892155,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,9,2026-09-09,47,1,9,True,,41.04995004995005,39.260739260739264,17.091908091908092,2.5974025974025974,-23.958041958041957,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,mixed,-3,2026-09-09,47,1,-3,True,,51.54995004995005,36.260739260739264,9.591908091908092,2.5974025974025974,-15.289210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,-3,2026-09-09,47,1,-3,True,,51.54995004995005,40.760739260739264,5.091908091908092,2.5974025974025974,-46.45804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,0,2026-09-09,47,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,0,2026-09-09,47,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,3,2026-09-09,47,1,3,True,,48.54995004995005,42.260739260739264,6.591908091908092,2.5974025974025974,-6.2892107892107845,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,3,2026-09-09,47,1,3,True,,48.54995004995005,37.760739260739264,11.091908091908092,2.5974025974025974,-37.45804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,6,2026-09-09,47,1,6,True,,47.04995004995005,45.260739260739264,5.091908091908092,2.5974025974025974,-1.7892107892107845,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,6,2026-09-09,47,1,6,True,,47.04995004995005,36.260739260739264,14.091908091908092,2.5974025974025974,-32.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,9,2026-09-09,47,1,9,True,,45.54995004995005,48.260739260739264,3.591908091908092,2.5974025974025974,2.7107892107892155,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,9,2026-09-09,47,1,9,True,,45.54995004995005,34.760739260739264,17.091908091908092,2.5974025974025974,-28.458041958041957,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,challenger,-3,2026-09-09,47,1,-3,True,,50.04995004995005,36.260739260739264,11.091908091908092,2.5974025974025974,-13.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,-3,2026-09-09,47,1,-3,True,,50.04995004995005,42.260739260739264,5.091908091908092,2.5974025974025974,-44.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,0,2026-09-09,47,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,0,2026-09-09,47,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,3,2026-09-09,47,1,3,True,,50.04995004995005,42.260739260739264,5.091908091908092,2.5974025974025974,-7.7892107892107845,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,3,2026-09-09,47,1,3,True,,50.04995004995005,36.260739260739264,11.091908091908092,2.5974025974025974,-38.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,6,2026-09-09,47,1,6,True,,50.04995004995005,45.260739260739264,2.091908091908092,2.5974025974025974,-4.7892107892107845,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,6,2026-09-09,47,1,6,True,,50.04995004995005,33.260739260739264,14.091908091908092,2.5974025974025974,-35.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,9,2026-09-09,47,1,9,False,Chris Alexander has too little support for this transfer.,,,,,,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,9,2026-09-09,47,1,9,True,,50.04995004995005,30.260739260739264,17.091908091908092,2.5974025974025974,-32.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,chow,-3,2026-09-09,47,0.5,-1.5,True,,51.54995004995005,37.760739260739264,8.091908091908092,2.5974025974025974,-13.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,-3,2026-09-09,47,0.5,-1.5,True,,51.54995004995005,39.260739260739264,6.591908091908092,2.5974025974025974,-44.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,0,2026-09-09,47,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,0,2026-09-09,47,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,3,2026-09-09,47,0.5,1.5,True,,48.54995004995005,40.760739260739264,8.091908091908092,2.5974025974025974,-7.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,3,2026-09-09,47,0.5,1.5,True,,48.54995004995005,39.260739260739264,9.591908091908092,2.5974025974025974,-38.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,6,2026-09-09,47,0.5,3.0,True,,47.04995004995005,42.260739260739264,8.091908091908092,2.5974025974025974,-4.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,6,2026-09-09,47,0.5,3.0,True,,47.04995004995005,39.260739260739264,11.091908091908092,2.5974025974025974,-35.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,chow,9,2026-09-09,47,0.5,4.5,True,,45.54995004995005,43.760739260739264,8.091908091908092,2.5974025974025974,-1.7892107892107845,5.394605394605392,True,50.04995004995005
pallas-2026-08-21,alexander,chow,9,2026-09-09,47,0.5,4.5,True,,45.54995004995005,39.260739260739264,12.591908091908092,2.5974025974025974,-32.95804195804196,31.168831168831172,True,50.04995004995005
pallas-2026-08-21,bradford,mixed,-3,2026-09-09,47,0.5,-1.5,True,,50.79995004995005,37.760739260739264,8.841908091908092,2.5974025974025974,-13.039210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,-3,2026-09-09,47,0.5,-1.5,True,,50.79995004995005,40.010739260739264,6.591908091908092,2.5974025974025974,-44.20804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,0,2026-09-09,47,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,0,2026-09-09,47,0.5,0.0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,3,2026-09-09,47,0.5,1.5,True,,49.29995004995005,40.760739260739264,7.341908091908092,2.5974025974025974,-8.539210789210784,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,3,2026-09-09,47,0.5,1.5,True,,49.29995004995005,38.510739260739264,9.591908091908092,2.5974025974025974,-39.70804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,6,2026-09-09,47,0.5,3.0,True,,48.54995004995005,42.260739260739264,6.591908091908092,2.5974025974025974,-6.2892107892107845,7.19280719280719,True,16.183816183816184
pallas-2026-08-21,alexander,mixed,6,2026-09-09,47,0.5,3.0,True,,48.54995004995005,37.760739260739264,11.091908091908092,2.5974025974025974,-37.45804195804196,27.972027972027973,True,78.52147852147853
pallas-2026-08-21,bradford,mixed,9,2026-09-09,47,0.5,4.5,True,,47.79995004995005,43.760739260739264,5.841908091908092,2.5974025974025974,-4.0392107892107845,7.19280719280719,True,16.183816183816184
